ECO_ID,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,COLOR,COLOR_BIO,UNIQUE_ECOREGION_COLOR
372,Copper Plateau taiga,6,Boreal Forests/Taiga,Nearctic,#9A45DE,#7AB6F5,#69D6FC
373,Eastern Canadian forests,6,Boreal Forests/Taiga,Nearctic,#8E60F7,#7AB6F5,#7B9FCD
374,Eastern Canadian Shield taiga,6,Boreal Forests/Taiga,Nearctic,#956BC1,#7AB6F5,#6C7FF7
375,Interior Alaska-Yukon lowland taiga,6,Boreal Forests/Taiga,Nearctic,#6D3EC2,#7AB6F5,#9FD4FF
376,Mid-Canada Boreal Plains forests,6,Boreal Forests/Taiga,Nearctic,#DCB1F9,#7AB6F5,#7090F2
377,Midwest Canadian Shield forests,6,Boreal Forests/Taiga,Nearctic,#A63DEF,#7AB6F5,#A5E1FF
378,Muskwa-Slave Lake taiga,6,Boreal Forests/Taiga,Nearctic,#9A72F7,#7AB6F5,#739EED
379,Northern Canadian Shield taiga,6,Boreal Forests/Taiga,Nearctic,#A587E9,#7AB6F5,#ABECFF
380,Northern Cordillera forests,6,Boreal Forests/Taiga,Nearctic,#882AC8,#7AB6F5,#76ABE8
381,Northwest Territories taiga,6,Boreal Forests/Taiga,Nearctic,#7E46E9,#7AB6F5,#5873FF
382,Southern Hudson Bay taiga,6,Boreal Forests/Taiga,Nearctic,#BB8FDA,#7AB6F5,#78B6E3
383,Watson Highlands taiga,6,Boreal Forests/Taiga,Nearctic,#CDB0E0,#7AB6F5,#5D8AFF
384,Western Gulf coastal grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Nearctic,#FBFC58,#FEAA01,#E7730E
385,California Central Valley grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#DEFC4E,#FEFF73,#EDFF57
386,Canadian Aspen forests and parklands,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#DB931A,#FEFF73,#E3C278
387,Central US forest-grasslands transition,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#A3FC62,#FEFF73,#FFFF5D
388,Central Tallgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#DEFC4E,#FEFF73,#C0DE7B
389,Central-Southern US mixed grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FD9943,#FEFF73,#FFED63
390,Cross-Timbers savanna-woodland,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FBDA4D,#FEFF73,#C8D97D
391,Edwards Plateau savanna,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#93FC7C,#FEFF73,#FFDD69
392,Flint Hills tallgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#A87001,#FEFF73,#CDD47F
393,Mid-Atlantic US coastal savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FBB04B,#FEFF73,#FECE6E
394,Montana Valley and Foothill grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#C66E02,#FEFF73,#FFFC9E
395,Nebraska Sand Hills mixed grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FCDF6A,#FEFF73,#D4F972
396,Northern Shortgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FCBA26,#FEFF73,#FFE54B
397,Northern Tallgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FCCA4D,#FEFF73,#E0F475
398,Palouse prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FDA65F,#FEFF73,#FFD351
399,Southeast US conifer savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#FFAA01,#FEFF73,#E9F079
400,Southeast US mixed woodlands and savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#E8FC5F,#FEFF73,#C3FF57
401,Texas blackland prairies,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#F3FC49,#FEFF73,#EBE47B
402,Western shortgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#E7BD33,#FEFF73,#D7FF5C
403,Willamette Valley oak savanna,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,#A87001,#FEFF73,#E6D47E
404,Ahklun and Kilbuck Upland Tundra,11,Tundra,Nearctic,#4C82B6,#9ED7C2,#9BE8D5
405,Alaska-St. Elias Range tundra,11,Tundra,Nearctic,#61D2F2,#9ED7C2,#94B9A0
406,Aleutian Islands tundra,11,Tundra,Nearctic,#4DA6A2,#9ED7C2,#A1D4B1
407,Arctic coastal tundra,11,Tundra,Nearctic,#78F3F1,#9ED7C2,#90B4B2
408,Arctic foothills tundra,11,Tundra,Nearctic,#4D99B3,#9ED7C2,#9EC5B9
409,Beringia lowland tundra,11,Tundra,Nearctic,#69F6D6,#9ED7C2,#8CAFA9
410,Beringia upland tundra,11,Tundra,Nearctic,#5ACFC7,#9ED7C2,#9AC0B0
411,Brooks-British Range tundra,11,Tundra,Nearctic,#66BECA,#9ED7C2,#93FFE2
412,Canadian High Arctic tundra,11,Tundra,Nearctic,#579ACE,#9ED7C2,#96BBA7
413,Canadian Low Arctic tundra,11,Tundra,Nearctic,#4DB18F,#9ED7C2,#98FED7
414,Canadian Middle Arctic Tundra,11,Tundra,Nearctic,#6DB5DE,#9ED7C2,#92B69F
415,Davis Highlands tundra,11,Tundra,Nearctic,#4CB9BB,#9ED7C2,#9AF9CA
416,Interior Yukon-Alaska alpine tundra,11,Tundra,Nearctic,#6EE3C6,#9ED7C2,#65B1AE
417,Kalaallit Nunaat Arctic steppe,11,Tundra,Nearctic,#64DEE3,#9ED7C2,#9DF4BF
418,Kalaallit Nunaat High Arctic tundra,11,Tundra,Nearctic,#6AFBEE,#9ED7C2,#66ACA2
419,Ogilvie-MacKenzie alpine tundra,11,Tundra,Nearctic,#74D0E7,#9ED7C2,#9FEFB6
420,Pacific Coastal Mountain icefields and tundra,11,Tundra,Nearctic,#4C82B6,#9ED7C2,#65B1AF
421,Torngat Mountain tundra,11,Tundra,Nearctic,#5ABF9D,#9ED7C2,#A1EAE2
422,California coastal sage and chaparral,12,"Mediterranean Forests, Woodlands & Scrub",Nearctic,#FF7F7E,#FE0000,#E2203E
423,California interior chaparral and woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Nearctic,#FFA77F,#FE0000,#FF2600
424,California montane chaparral and woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Nearctic,#A93800,#FE0000,#DD2455
425,Santa Lucia Montane Chaparral & Woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Nearctic,#B54B01,#FE0000,#FF0618
426,Baja California desert,13,Deserts & Xeric Shrublands,Nearctic,#E0B45B,#CC6767,#A65E39
427,Central Mexican matorral,13,Deserts & Xeric Shrublands,Nearctic,#CC9141,#CC6767,#D06E75
428,Chihuahuan desert,13,Deserts & Xeric Shrublands,Nearctic,#E18C78,#CC6767,#A1533B
429,Colorado Plateau shrublands,13,Deserts & Xeric Shrublands,Nearctic,#FF7F7E,#CC6767,#CB7081
430,Great Basin shrub steppe,13,Deserts & Xeric Shrublands,Nearctic,#FFA77F,#CC6767,#F5715F
431,Gulf of California xeric scrub,13,Deserts & Xeric Shrublands,Nearctic,#E18C78,#CC6767,#C6728B
432,Meseta Central matorral,13,Deserts & Xeric Shrublands,Nearctic,#A57024,#CC6767,#F06463
433,Mojave desert,13,Deserts & Xeric Shrublands,Nearctic,#FA5D4E,#CC6767,#C18C73
434,Snake-Columbia shrub steppe,13,Deserts & Xeric Shrublands,Nearctic,#C4694E,#CC6767,#EB6673
435,Sonoran desert,13,Deserts & Xeric Shrublands,Nearctic,#FA5870,#CC6767,#BC8375
436,Tamaulipan matorral,13,Deserts & Xeric Shrublands,Nearctic,#BA4A58,#CC6767,#E66984
437,Tamaulipan mezquital,13,Deserts & Xeric Shrublands,Nearctic,#F9A461,#CC6767,#B77C76
